auction_id,license,market_number,market_name,block_final,block_interim,bidder,frn,bidding_credit_type,bidding_credit_pct,gross_license_price,net_license_price,effective_bidding_credit
107,PEA001-A1,PEA001,"New York, NY",A1,A1,Cellco Partnership,0003290673,,0,516162142,516162142,0.0
107,PEA001-A2,PEA001,"New York, NY",A2,A2,Cellco Partnership,0003290673,,0,516162142,516162142,0.0
107,PEA001-A3,PEA001,"New York, NY",A3,A3,Cellco Partnership,0003290673,,0,516162141,516162141,0.0
107,PEA001-A4,PEA001,"New York, NY",A4,,Cellco Partnership,0003290673,,0,516276510,516276510,0.0
107,PEA001-A5,PEA001,"New York, NY",A5,,Cellco Partnership,0003290673,,0,516276510,516276510,0.0
107,PEA001-B1,PEA001,"New York, NY",B1,,Cellco Partnership,0003290673,,0,516276510,516276510,0.0
107,PEA001-B2,PEA001,"New York, NY",B2,,Cellco Partnership,0003290673,,0,516276510,516276510,0.0
107,PEA001-B3,PEA001,"New York, NY",B3,,Cellco Partnership,0003290673,,0,516276510,516276510,0.0
107,PEA001-B4,PEA001,"New York, NY",B4,A4,AT&T Spectrum Frontiers LLC,0027840180,,0,516855883,516855883,0.0
107,PEA001-B5,PEA001,"New York, NY",B5,A5,AT&T Spectrum Frontiers LLC,0027840180,,0,516855883,516855883,0.0
107,PEA001-C1,PEA001,"New York, NY",C1,,AT&T Spectrum Frontiers LLC,0027840180,,0,516970405,516970405,0.0
107,PEA001-C2,PEA001,"New York, NY",C2,,AT&T Spectrum Frontiers LLC,0027840180,,0,516970405,516970405,0.0
107,PEA001-C3,PEA001,"New York, NY",C3,,T-Mobile License LLC,0001565449,,0,516276418,516276418,0.0
107,PEA001-C4,PEA001,"New York, NY",C4,,T-Mobile License LLC,0001565449,,0,516276418,516276418,0.0
107,PEA002-A1,PEA002,"Los Angeles, CA",A1,A1,Cellco Partnership,0003290673,,0,556568810,556568810,0.0
107,PEA002-A2,PEA002,"Los Angeles, CA",A2,A2,Cellco Partnership,0003290673,,0,556568809,556568809,0.0
107,PEA002-A3,PEA002,"Los Angeles, CA",A3,A3,Cellco Partnership,0003290673,,0,556568809,556568809,0.0
107,PEA002-A4,PEA002,"Los Angeles, CA",A4,,Cellco Partnership,0003290673,,0,506201876,506201876,0.0
107,PEA002-A5,PEA002,"Los Angeles, CA",A5,,Cellco Partnership,0003290673,,0,506201876,506201876,0.0
107,PEA002-B1,PEA002,"Los Angeles, CA",B1,,Cellco Partnership,0003290673,,0,506201876,506201876,0.0
107,PEA002-B2,PEA002,"Los Angeles, CA",B2,,Cellco Partnership,0003290673,,0,506201876,506201876,0.0
107,PEA002-B3,PEA002,"Los Angeles, CA",B3,A4,AT&T Spectrum Frontiers LLC,0027840180,,0,556021683,556021683,0.0
107,PEA002-B4,PEA002,"Los Angeles, CA",B4,A5,AT&T Spectrum Frontiers LLC,0027840180,,0,556021683,556021683,0.0
